chunking_strategy,chunk_size,chunk_overlap,num_chunks,retrieval_method,embedding_time_sec,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr,experiment,embedding_model,embedding_type,embedding_dim,docs_per_second,prompt_template,prompt_description,retrieval_config,retrieval_description,generation_time_sec,queries_per_second,metric_answer_precision,metric_answer_recall,metric_faithfulness,metric_citation_rate,metric_answer_correctness,technique,description,processing_time_sec,reranking_method,reranking_time_sec,retrieval_type,query_expansion,retrieval_time_sec,alpha,metric_precision,metric_recall
Sliding window with coherence,auto,auto,50.0,hybrid,3.354835033416748,1.0,1.0,0.96,0.0634023210831721,0.1011250805931656,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,64,0,16.0,vector,1.751925706863403,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.3166666666666666,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,64,0,16.0,bm25,0.0,1.0,1.0,0.96,0.2449999999999999,0.3833333333333333,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,64,0,16.0,hybrid,1.751925706863403,1.0,1.0,0.92,0.2449999999999999,0.3666666666666666,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,64,16,18.0,vector,4.3378379344940186,1.0,0.9333333333333332,0.8400000000000001,0.2020361990950226,0.2880090497737556,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,64,16,18.0,bm25,0.0,1.0,0.9333333333333332,0.92,0.2020361990950226,0.3283936651583711,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,64,16,18.0,hybrid,4.3378379344940186,1.0,0.9333333333333332,0.8400000000000001,0.2020361990950226,0.2880090497737556,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,128,0,4.0,vector,1.3634681701660156,1.0,1.0,1.0,0.75,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,128,0,4.0,bm25,0.0,1.0,1.0,1.0,0.75,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,128,0,4.0,hybrid,1.3634681701660156,1.0,1.0,1.0,0.75,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,128,32,5.0,vector,1.699554443359375,1.0,0.9333333333333332,0.96,0.58,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,128,32,5.0,bm25,0.0,1.0,0.9333333333333332,0.96,0.58,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,128,32,5.0,hybrid,1.699554443359375,1.0,0.9333333333333332,0.96,0.58,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,256,0,2.0,vector,1.3657736778259275,1.0,1.0,1.0,1.0,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,256,0,2.0,bm25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,256,0,2.0,hybrid,1.3657736778259275,1.0,1.0,1.0,1.0,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,256,64,2.0,vector,0.9304330348968506,1.0,1.0,1.0,1.0,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,256,64,2.0,bm25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,256,64,2.0,hybrid,0.9304330348968506,1.0,1.0,1.0,1.0,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
paragraph,auto,auto,75.0,vector,1.2436954975128174,1.0,0.8,0.76,0.0467205562121311,0.0725503790817448,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
paragraph,auto,auto,75.0,bm25,0.0,0.8,0.8666666666666666,0.8,0.0508722082448164,0.0764569330752145,0.9,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
paragraph,auto,auto,75.0,hybrid,1.2436954975128174,1.0,0.7999999999999999,0.76,0.0469506396173654,0.0727804624869792,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
